Year,Destinations ,Percentage of prospective Students
2019,Western Europe,35%
2019,United States,33%
2019,East &Southeast Asia,23%
2019,Canada,5%
2019,Australia & Pacific Islands,3%
2020,Western Europe,35%
2020,United States,31%
2020,East &Southeast Asia,19%
2020,Canada,12%
2020,Australia & Pacific Islands,2%
2021,Western Europe,35%
2021,United States,27%
2021,East &Southeast Asia,27%
2021,Canada,9%
2021,Australia & Pacific Islands,1%
2022,Western Europe,32%
2022,United States,32%
2022,East &Southeast Asia,31%
2022,Canada,12%
2022,Australia & Pacific Islands,3%
2023,Western Europe,34%
2023,United States,26%
2023,East &Southeast Asia,25%
2023,Canada,9%
2023,Australia & Pacific Islands,4%
